,company name,company phone,company email,company website
0, Waa Limited (Myanmar),09-4480255573,-,-
1, Zest Tang Company Limited  ,09785008513,-,-
2,2-Go Packaging Company Limited ,"09-425027717, 09-5590559",-,-
3,3R  Non Woven Manufacture  Company  Limited, 09-777779662,[email protected],-
4,A-5 Company Limited (Livestock),"09-788683359, 09-5112215, 09-72624518",[email protected],-
5,A-5 Company Limited (Manufacturing),09-972624518,-,-
6,AA Double ACE Construction Material Company Limited ,09-978509668,-,-
7,"AA QSR Co., Ltd.",09-5119499,[email protected],--
8,Able Better Garment Company Limited ,"09-768703331, 09-455661666",-,-
9,"Above & Beyond Company Limited
",09-792526877,-,-
10,ACK and CO Services Company Limited,"01-513115, 09-5117570",-,-
11,Adachi Global Industries Company Limited,09-5004666,-,-
12,Adani Yangon International Terminal  Company Limited,09-5014007,-,-
13,Adonia Footwear Company limited,09-778814480,[email protected],-
14,adonia footwear company limited,09-778814480,[email protected],-
15,Adventure Myanmar Tours & Incentives Company Limited,09-5199160,-,-
16,AGB Communication Company Limited,09-5136364,-,-
17,"Agro Global Co., Ltd","09-7838200701, 09-250002655 09-40056795",[email protected],-
18,Aida Amazing Company Limited,09-974447874,-,-
19,Air Products (Myanmar) Company Limited,09-261588747,-,-
20,Airport Avenue Company Limied,"09-5130346
",-,-
21,AIT (Myanmar) Manufacturing Company Limited,09-261604365,-,-
22,Aizawa Myanmar   Company Limited,09-2130173,-, - 
23,Alamanda Annapi Myanmar Company Limited,09-42005632,[email protected],-
24,Alland Fashion Limited,09-971973128,"[email protected], [email protected]",-
25,"Allin Pwint Construction Co., Ltd","09-2000561, 09-969171717",[email protected],-
26,"Alphavina Construction Company Limited  
",09-952216868,-,-
27,Alticy Company Limited,09-959535403,-,-
28,Amara Communications Company Limited,09-785092358,-,-
29,Amazing  Holidays Hotels & Resorts Company Limited,09-73026655,-,-
30,"Amazing Advanced Transforming & Manufacturing Co., Ltd.",09-791606816,[email protected],-
31,Amazing Advanced Transforming & Manufacturing Company Limited,09-5181468,[email protected],-
32,"Amazing Dawei Co., Ltd",09-255 3333005 ,[email protected],-
33,Amazing Dawei Company Limited,09-253339005,[email protected],-
34,American International Partners Limited,"09-401533874, 09-43111161",[email protected],-
35,American Oncology Institute Myanmar Company Limited,09-546064,-,-
36,"Amity (Myanmar) Lingerie Company Limited  
","09-445266709
",-,-
37,An & Brothers Manufacturing Company Limited,09-799788706,-,-
38,Andaman Allliance Healthcare Limited,09-254280263,-,-
39,Angelo Mining Company Limited ,"02-22331, 02-236582",[email protected],-
40,Apex Rubber International Company Limited    ,"09-782116023
",-,-
41,Apex Union Gas Company Limited (Gas),"09-250023053, 09-256399383,
09-5114313

","[email protected]
[email protected]",-
42,Apex Union Gas Company Limited (Infra),"09-250023053, 09-256399383,
09-5114313

","[email protected]
[email protected]",-
43,Apple Design Jewellery Company Limited,"09-43095855,
09-791715243","[email protected]
[email protected]",-
44,AqauGold Myanmar Pearl Company Limited,09-250146878,[email protected],-
45,Aqua Pura Company Limited ,09-798705385,-,-
46,"Aqua Shoes Co., Ltd",09-8612387,-, - 
47,Aquamarine Ecotourism Development Company Limited,09-5156668,-,-
48,Areca Collection (Myanmar) Company Limited,09-963171093,[email protected],www.areca-groups.com
49,Arkar Phyo Company Limited ,09-791664000  ,-,-
50,Arkar Phyo Kyaw Company Limited ,09 26515223,[email protected],-
51,ARO Commercial Company Limited,09-798558899,-,-
52,Aryu International Health Care Company Limited,09-428041013,-,-
53,"Asahi Fan Garment  (Myanmar) Company Limited
",09-779824118,-,-
54,"Asdet (Myanmar) Garment Company Limited    
","09-421016798
",-,-
55,Asia  Fashion Company Limited,09-450019141,-,-
56,Asia Caps Company Limited   ,86051258160660,[email protected],-
57,Asia General Transformer Company Limited,09-5506705,-,-
58,Asia Glory International Company Limited,"09-454962389,09-777735200",-,-
59,Asia Hline Kyaw Family Company Limited,01-3613940,-,-
60,Asia King Power Company Limited,09-5116265,-,-
61,Asia King Power Company Limited              ,09-5116265,[email protected],-
62,Asia Link (Myanmar)  Fashion Company Limited,01658263,[email protected],-
63,Asia Rising  Star Travels & Tours Company Limited,09-5142908 ,-,-
64,Asia Starmar Transport Intelligent Company Limited,"09-777777722,
09-797881617",[email protected] ,-
65,"Asian Just Company Limited 
","09-5027530
09-5122617",-,-
66,Au Mit Myanmar Company Limited,09-5179190,[email protected],-
67,"Au Temps Des Cerises Co., ltd",Tel-09424035577 ,[email protected],-
68,"Aung Gabar Motor Services Company Limited
",09-5110791,-,-
69,Aung Khit San Company Limited,09 5342002 ,[email protected],-
70,AUNG KYUN THAR Company Limited,09-5196992 ,-,-
71,Aung Min Han Company Limited,09-962132184,[email protected],-
72,"Aung Myat Phyo International Co., Ltd",09423702444,[email protected],-
73,Aung Nagani Company Limited,"09-791177188, 09-442076289",-,-
74,"Aung Paing Moe Myae Co., Ltd.",09-425270708,-,-
75,Aung Phyo Myat Company Limited,09-5185088 ,-,-
76,Aung Shwe Thee Construction Company Limited,09787138591,[email protected],-
77,Aung Thaung Company Limited,09-5404441,[email protected] aungthaung.com,-
78,Aung Theikdi Win Company limited,09-780036368,tha[email protected] ,-
79,Aungchanthar Solar Power Company Limited ,09255111218,[email protected] ,-
80,Aurea Hotel & Services Company Limited,"09-5118945
",-,-
81,AwRa Energy Public Company Limited,09-5671000,[email protected],www.awra.com.mm
82,Awra Trading Company Limited,09-5671000,-,-
83,Ayar Sumo Company Limited     ,09-974488990,-,-
84,Ayar Winner (AW) Public Company Limited,09-5160006,[email protected],-
